period,location,state,sector,fuel,generation,totalConsumptionBtu
2024,90,Pacific,All Commercial,subbituminous coal,148.23956,4.47103
2024,90,Pacific,All Commercial,solar,168.87174,0.5762
2024,90,Pacific,All Commercial,renewable waste products,957.88659,12.86328
2024,90,Pacific,All Commercial,wind,5.718,0.01951
2024,90,Pacific,All Commercial,onshore wind turbine,5.718,0.01951
2024,90,Pacific,All Commercial,waste oil and other oils,0,0
2024,90,Pacific,All Commercial,wood and wood wastes,0,0
2024,90,Pacific,All Industrial,all fuels,14702.20143,266.08833
2024,90,Pacific,All Industrial,all renewables,2434.33524,86.73409
2024,90,Pacific,All Industrial,biomass,2101.0929,85.59706
2024,90,Pacific,All Industrial,bituminous coal and synthetic coal,245.55352,12.10898
2024,90,Pacific,All Industrial,bituminous coal,245.55352,12.10898
2024,90,Pacific,All Industrial,coal, excluding waste coal,267.58148,13.36899
2024,90,Pacific,All Industrial,all coal products,267.58148,13.36899
2024,90,Pacific,All Industrial,distillate fuel oil,51.27008,0.52294
2024,90,Pacific,All Industrial,fossil fuels,11956.0842,178.28884
2024,90,Pacific,All Industrial,conventional hydroelectric,66.47,0.22809
2024,90,Pacific,All Industrial,landfill gas,29.614,0.2135
2024,90,Pacific,All Industrial,municiapl landfill gas,29.614,0.2135
2024,90,Pacific,All Industrial,natural gas,10033.99239,135.29579
2024,90,Pacific,All Industrial,natural gas & other gases,11465.45357,162.09301
2024,90,Pacific,All Industrial,biomass,40.51705,1.47012
2024,90,Pacific,All Industrial,biomass,40.51705,1.47012
2024,90,Pacific,All Industrial,other gases,1431.46117,26.79722
2024,90,Pacific,All Industrial,other renewables,40.51705,1.47012
2024,90,Pacific,All Industrial,other,245.312,0.83731
2024,90,Pacific,All Industrial,petroleum coke,0,0
2024,90,Pacific,All Industrial,petroleum liquids,223.04915,2.82684
2024,90,Pacific,All Industrial,petroleum,223.04915,2.82684
2024,90,Pacific,All Industrial,refined coal,0,0
2024,90,Pacific,All Industrial,renewable,2500.80524,86.96218
2024,90,Pacific,All Industrial,residual fuel oil,1.57926,0.09291
2024,90,Pacific,All Industrial,solar photovoltaic,317.09086,1.08192
2024,90,Pacific,All Industrial,subbituminous coal,22.02797,1.26001
2024,90,Pacific,All Industrial,solar,317.09086,1.08192
2024,90,Pacific,All Industrial,renewable waste products,70.13105,1.68362
2024,90,Pacific,All Industrial,wind,16.15148,0.05511
2024,90,Pacific,All Industrial,onshore wind turbine,16.15148,0.05511
2024,90,Pacific,All Industrial,waste oil and other oils,170.1998,2.211
2024,90,Pacific,All Industrial,wood and wood wastes,2030.96186,83.91345
2024,90,Pacific,Electric Power,all fuels,379190.49666,2173.89797
2024,90,Pacific,Electric Power,all renewables,100989.78781,407.8753
2024,90,Pacific,Electric Power,biomass,4149.30775,63.3665
2024,90,Pacific,Electric Power,bituminous coal and synthetic coal,0,0
2024,90,Pacific,Electric Power,bituminous coal,0,0
2024,90,Pacific,Electric Power,coal, excluding waste coal,3347.0766,43.24161
2024,90,Pacific,Electric Power,all coal products,3428.66282,44.3499
2024,90,Pacific,Electric Power,distillate fuel oil,1937.13874,20.76372
2024,90,Pacific,Electric Power,fossil fuels,132577.44245,1062.73747
2024,90,Pacific,Electric Power,geothermal,10952.3,37.36924
2024,90,Pacific,Electric Power,hydro-electric pumped storage,-43.997,0
2024,90,Pacific,Electric Power,conventional hydroelectric,118652.40369,405.026
2024,90,Pacific,Electric Power,landfill gas,1346.68565,15.61065
2024,90,Pacific,Electric Power,lignite coal,334.789,4.56951
2024,90,Pacific,Electric Power,municiapl landfill gas,1434.47707,17.45439
2024,90,Pacific,Electric Power,biogenic municipal solid waste,87.79142,1.84374
2024,90,Pacific,Electric Power,natural gas,121300.15799,935.98194
2024,90,Pacific,Electric Power,natural gas & other gases,121300.15799,935.98194
2024,90,Pacific,Electric Power,nuclear,28345.974,296.00572
2024,90,Pacific,Electric Power,biomass,451.91747,5.90063
2024,90,Pacific,Electric Power,biomass,539.70889,7.74438
2024,90,Pacific,Electric Power,other gases,0,0
2024,90,Pacific,Electric Power,other renewables,451.91747,5.90063
2024,90,Pacific,Electric Power,other,-1331.11428,2.25347
2024,90,Pacific,Electric Power,petroleum coke,0,0
2024,90,Pacific,Electric Power,petroleum liquids,7848.62164,82.40564
2024,90,Pacific,Electric Power,petroleum,7848.62164,82.40564
2024,90,Pacific,Electric Power,refined coal,0,0
2024,90,Pacific,Electric Power,renewable,219642.1915,812.9013
2024,90,Pacific,Electric Power,residual fuel oil,5396.05705,57.28743
2024,90,Pacific,Electric Power,solar photovoltaic,49047.29994,167.3494
2024,90,Pacific,Electric Power,solar thermal,2045.315,21.06675
2024,90,Pacific,Electric Power,subbituminous coal,3012.2876,38.6721
2024,90,Pacific,Electric Power,solar,51092.61494,188.41615
2024,90,Pacific,Electric Power,renewable waste products,1886.39454,23.35502
2024,90,Pacific,Electric Power,wind,34795.56512,118.72341
2024,90,Pacific,Electric Power,onshore wind turbine,34795.56512,118.72341
2024,90,Pacific,Electric Power,waste coal,81.58622,1.10829
2024,90,Pacific,Electric Power,waste oil and other oils,515.42585,4.35448
2024,90,Pacific,Electric Power,wood and wood wastes,2262.91322,40.01148
2024,90,Pacific,All Sectors,all fuels,397101.82802,2483.74402
2024,90,Pacific,All Sectors,all renewables,104556.59938,508.06837
2024,90,Pacific,All Sectors,biomass,7208.28724,161.82684
2024,90,Pacific,All Sectors,bituminous coal and synthetic coal,245.55352,12.10898
2024,90,Pacific,All Sectors,bituminous coal,245.55352,12.10898
2024,90,Pacific,All Sectors,coal, excluding waste coal,3762.89765,61.08162
2024,90,Pacific,All Sectors,all coal products,3844.48387,62.18991
2024,90,Pacific,All Sectors,distillate fuel oil,2003.18376,21.66001
2024,90,Pacific,All Sectors,fossil fuels,146175.55248,1266.08577
2024,90,Pacific,All Sectors,geothermal,10952.3,37.36924
2024,90,Pacific,All Sectors,hydro-electric pumped storage,-43.997,0
2024,90,Pacific,All Sectors,conventional hydroelectric,118938.50869,406.00348
2024,90,Pacific,All Sectors,landfill gas,1720.07276,20.32166
2024,90,Pacific,All Sectors,lignite coal,334.789,4.56951
2024,90,Pacific,All Sectors,municiapl landfill gas,1984.9805,25.83855
2024,90,Pacific,All Sectors,biogenic municipal solid waste,264.90774,5.51689
